geneID,name,tsGenLoc,chr,start,stop,strand,upstreamGenLoc,type,exons,tsLength,spliceAlt,pseudo,description,tmDom,signalP,loc,dist2Telo,subtelo.HP1,altName,ap2gMotifs_1k,ap2gMotifs_3k,family,cvge,heterochrom,hda2KD,hp1KD,combined,trophPep,egcPep,lgcPep,eGC.Troph.ratio,lGC.Troph.ratio,ap2gDD.t3h,ap2gDD.t9h,ap2gDD.t15h,ap2gDD.t21h,ap2gDD.t27h,ap2gDD.t33h,ap2gDD.t39h,ap2gDD.t45h,ap2gDD.t57h,ap2gDD.t69h,ap2gDD.t81h
PF3D7_0100100,VAR PF3D7_0100100,Pf3D7_01_v3: 29510 - 37126 (+),Pf3D7_01_v3,29510,37126,(+),Pf3D7_01_v3: 24509 - 29509 (+),protein,2,6492,0,0,"erythrocyte membrane protein 1, PfEMP1 (VAR)",0,0,exported,29510,TRUE,VAR PF3D7_0100100,0,4,var,0,1,1,1,3,0,0,0,0.991694698,0.991694698,-0.16,-0.18,-0.16,-0.22,-0.21,0.01,-0.06,0.02,-0.89,-0.22,-0.02
PF3D7_0100200,RIF PF3D7_0100200,Pf3D7_01_v3: 38982 - 40207 (-),Pf3D7_01_v3,38982,40207,(-),Pf3D7_01_v3: 42366 - 40208 (-),protein,2,996,0,0,rifin (RIF),1,0,exported,40207,TRUE,RIF PF3D7_0100200,0,0,rifin,1,1,1,1,4,0,0,0,0.991694698,0.991694698,0.05,-0.1,-0.14,-0.71,-0.29,-0.4,-0.08,0.22,-1.21,0.3,-0.14
PF3D7_0100300,VAR PF3D7_0100300,Pf3D7_01_v3: 42367 - 46507 (-),Pf3D7_01_v3,42367,46507,(-),Pf3D7_01_v3: 48435 - 46508 (-),protein,2,3984,0,0,"erythrocyte membrane protein 1, PfEMP1 (VAR)",0,0,exported,46507,TRUE,VAR PF3D7_0100300,0,0,var,1,1,1,1,4,0,0,0,0.991694698,0.991694698,-0.47,-0.36,-0.1,-0.35,-0.44,-0.13,-0.44,-0.58,-0.23,-0.22,-0.07
PF3D7_0100400,RIF PF3D7_0100400,Pf3D7_01_v3: 50363 - 51636 (+),Pf3D7_01_v3,50363,51636,(+),Pf3D7_01_v3: 48436 - 50362 (+),protein,2,1119,0,0,rifin (RIF),1,0,exported,50363,TRUE,RIF PF3D7_0100400,0,0,rifin,1,1,0,0,2,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0100500,PF3D7_0100500,Pf3D7_01_v3: 53169 - 53280 (-),Pf3D7_01_v3,53169,53280,(-),Pf3D7_01_v3: 53777 - 53281 (-),protein,1,112,0,1,"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",1,1,exported,53280,TRUE,PF3D7_0100500,1,1,var,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0100600,RIF PF3D7_0100600,Pf3D7_01_v3: 53778 - 55006 (-),Pf3D7_01_v3,53778,55006,(-),Pf3D7_01_v3: 56689 - 55007 (-),protein,2,1080,0,0,rifin (RIF),1,1,exported,55006,TRUE,RIF PF3D7_0100600,1,1,rifin,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0100700,PF3D7_0100700 protein,Pf3D7_01_v3: 56690 - 56893 (-),Pf3D7_01_v3,56690,56893,(-),Pf3D7_01_v3: 58333 - 56894 (-),protein,1,204,0,0,"Plasmodium exported protein, unknown function, fragment",0,0,exported,56893,TRUE,PF3D7_0100700 protein,0,0,other,0,0,0,0,0,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0100800,RIF PF3D7_0100800,Pf3D7_01_v3: 59772 - 61003 (+),Pf3D7_01_v3,59772,61003,(+),Pf3D7_01_v3: 58334 - 59771 (+),protein,2,1035,0,0,rifin (RIF),1,0,exported,59772,TRUE,RIF PF3D7_0100800,1,1,rifin,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PF3D7_0100900,RIF PF3D7_0100900,Pf3D7_01_v3: 62187 - 63400 (-),Pf3D7_01_v3,62187,63400,(-),Pf3D7_01_v3: 65816 - 63401 (-),protein,2,1053,0,0,rifin (RIF),1,1,exported,63400,TRUE,RIF PF3D7_0100900,1,4,rifin,0,1,1,1,3,0,0,0,0.991694698,0.991694698,-0.12,-0.8,-0.11,0.59,-0.6,-0.16,-0.28,-0.32,-0.71,-0.33,0.22
PF3D7_0101000,RIF PF3D7_0101000,Pf3D7_01_v3: 65817 - 66989 (-),Pf3D7_01_v3,65817,66989,(-),Pf3D7_01_v3: 69303 - 66990 (-),protein,2,1077,0,0,rifin (RIF),2,1,exported,66989,TRUE,RIF PF3D7_0101000,1,1,rifin,0,1,0,0,1,0,0,0,0.991694698,0.991694698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
