geneID,name,tsGenLoc,description,loc,dist2Telo,family,H3K9me3_Salcedo-Amaya_Asex,HP1_Flueck_Asex,H3K9me3.RPKM.Troph.Bunnik,H3K9me3.RPKM.Gam.Bunnik,H3K9me3_Bunnik_Asex,H3K9me3_Bunnik_GC,HP1.RPKM.Schizonts.Fraschka,HP1.RPKM.eGC.Fraschka,HP1.RPKM.lGC.Fraschka,HP1.GeneCluster.Fraschka,HP1_Fraschka_Asex,HP1_Fraschka_eGC,HP1_Fraschka_lGC,H3K9.GamAsex.log2Ratio,HP1.GamAsex.log2Ratio,Repressed_in_GC,Derepressed_in_GC
PF3D7_1444300,LPAAT,Pf3D7_14_v3: 1828579 - 1829962 (+),"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative (LPAAT)",secretoryPathway,1463357,other,0,0,0.1,0.1,0,0,0.3,0.44,0.45,10,0,0,0,0,0.584962501,0,0
PF3D7_0802200,1-CysPxn,Pf3D7_08_v3: 165416 - 166078 (+),1-cys peroxiredoxin (1-CysPxn),0,165416,other,0,0,0.1,0.1,0,0,0.41,0.61,0.6,11,0,0,0,0,0.549338591,0,0
PF3D7_0729200,AOP,Pf3D7_07_v3: 1247398 - 1248264 (+),1-cys peroxiredoxin (AOP),apicoplast,197809,other,0,0,0.1,0.1,0,0,0.37,0.43,0.42,10,0,0,0,0,0.182864057,0,0
PF3D7_0304500,GLP1,Pf3D7_03_v3: 219117 - 219872 (-),1-cys-glutaredoxin-like protein-1 (GLP1),0,219872,other,0,0,0.1,0.1,0,0,0.44,0.4,0.61,12,0,0,0,0,0.471305719,0,0
PF3D7_1467300,DXR,Pf3D7_14_v3: 2750958 - 2752424 (+),1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXR),apicoplast,540978,other,0,0,0.1,0.1,0,0,0.34,0.44,0.44,10,0,0,0,0,0.371968777,0,0
PF3D7_1337200,DXS,Pf3D7_13_v3: 1497877 - 1501494 (+),1-deoxy-D-xylulose 5-phosphate synthase (DXS),apicoplast,1427359,other,0,0,0.1,0.1,0,0,0.38,0.46,0.44,10,0,0,0,0,0.211504105,0,0
PF3D7_1215300,CPN10,Pf3D7_12_v3: 629009 - 629667 (-),10 kDa chaperonin (CPN10),0,629667,other,0,0,0.1,0.1,0,0,0.3,0.53,0.36,12,0,0,0,0,0.263034406,0,0
PF3D7_0818200,14-3-3I,Pf3D7_08_v3: 830006 - 831454 (+),14-3-3 protein (14-3-3I),0,642799,other,0,0,0.1,0.1,0,0,0.41,0.68,0.47,11,0,0,0,0,0.197036847,0,0
PF3D7_1362100,14-3-3II,Pf3D7_13_v3: 2487857 - 2489475 (-),14-3-3 protein (14-3-3II),0,435761,other,0,0,0.1,0.1,0,0,0.35,0.47,0.52,12,0,0,0,0,0.571156701,0,0
PF3D7_1422900,PF3D7_1422900 protein,Pf3D7_14_v3: 922931 - 924208 (+),"14-3-3 protein, putative",0,922931,other,0,0,0.1,0.1,0,0,0.39,0.57,0.51,12,0,0,0,0,0.387023123,0,0
PF3D7_0112300,PF3D7_0112300 rRNA,Pf3D7_01_v3: 473739 - 475887 (+),18S ribosomal RNA,0,167112,rRNA,0,0,0.1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3.321928095,NA,0,0
PF3D7_0531600,PF3D7_0531600 rRNA,Pf3D7_05_v3: 1289601 - 1291692 (+),18S ribosomal RNA,0,53956,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0725600,PF3D7_0725600 rRNA,Pf3D7_07_v3: 1083761 - 1085847 (+),18S ribosomal RNA,0,361446,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_1148600,PF3D7_1148600 rRNA,Pf3D7_11_v3: 1925942 - 1933150 (+),18S ribosomal RNA,0,112345,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_1371000,PF3D7_1371000 rRNA,Pf3D7_13_v3: 2800004 - 2802154 (+),18S ribosomal RNA,0,125232,rRNA,0,0,0.1,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
PF3D7_0106900,IspD,Pf3D7_01_v3: 290386 - 292590 (+),"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative (IspD)",apicoplast,290386,other,0,0,0.1,2.9,0,0,0.31,0.46,0.45,10,0,0,0,4.857980995,0.537656786,0,0
PF3D7_0820700,KDH,Pf3D7_08_v3: 932321 - 935626 (+),2-oxoglutarate dehydrogenase E1 component (KDH),mitochondrion,540484,other,0,0,0.1,0.1,0,0,0.36,0.46,0.41,10,0,0,0,0,0.187627003,0,0
PF3D7_1312600,BCKDHA,Pf3D7_13_v3: 529976 - 531265 (+),"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial, putative (BCKDHA)",mitochondrion,529976,other,0,0,0.1,0.1,0,0,0.49,0.42,0.47,10,0,0,0,0,-0.060120992,0,0
PF3D7_0504600,BCKDHB,Pf3D7_05_v3: 177410 - 178555 (+),"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative (BCKDHB)",mitochondrion,177410,other,0,0,0.1,0.1,0,0,0.39,0.59,0.47,12,0,0,0,0,0.269186633,0,0
PF3D7_1333000,CPN20,Pf3D7_13_v3: 1355285 - 1357194 (+),20 kDa chaperonin (CPN20),secretoryPathway,1355285,other,0,0,0.1,0.1,0,0,0.32,0.42,0.38,10,0,0,0,0,0.247927513,0,0
PF3D7_1031000,Pfs25,Pf3D7_10_v3: 1253417 - 1254070 (-),25 kDa ookinete surface antigen precursor (Pfs25),parasiteSurface,433586,other,0,0,0.1,0.1,0,0,0.38,0.51,0.46,12,0,0,0,0,0.275634443,0,0
PF3D7_1306400,RPT4,Pf3D7_13_v3: 297178 - 298359 (-),"26S protease regulatory subunit 10B, putative (RPT4)",0,298359,other,0,0,0.1,0.1,0,0,0.4,0.55,0.55,11,0,0,0,0,0.459431619,0,0
