test_id	gene_id	gene	name	description	pseudo	locus	sample_1	sample_2	status	fpkm_KO	fpkm_WT	test_stat	p_value	q_value	significant	dist2Telo	subtelo.HP1
XLOC_005249	XLOC_005249	PF3D7_1404600	ACalpha	adenylyl cyclase alpha	No	Pf3D7_14_v3:154854-160191	KO	WT	OK	7.0836	196.496	2.89741	0.02355	0.17741	no	160191	FALSE
XLOC_004156	XLOC_004156	PF3D7_1318500		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:766139-767770	KO	WT	OK	0.187013	3.3641	2.08435	0.25655	0.622811	no	766140	FALSE
XLOC_005553	XLOC_005553	PF3D7_1466200	EGXP	"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:2694812-2704049	KO	WT	OK	5.67979	85.6311	19.709	5.00E-05	0.00198172	yes	587887	FALSE
XLOC_002079	XLOC_002079	PF3D7_0801400		"probable protein, unknown function"	No	Pf3D7_08_v3:104524-104888	KO	WT	OK	81.564	781.251	10.4099	0.0151	0.128933	no	104888	FALSE
XLOC_002228	XLOC_002228	PF3D7_0832400		stevor	No	Pf3D7_08_v3:1399559-1400583	KO	WT	OK	12.197	100.549	10.1899	5.00E-05	0.00198172	yes	72222	TRUE
XLOC_005459	XLOC_005459	PF3D7_1447600		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1942150-1942963	KO	WT	OK	1.16515	9.52703	2.67632	0.26855	0.635381	no	1348973	FALSE
XLOC_004687	XLOC_004687	PF3D7_1346700	P48/45	6-cysteine protein	No	Pf3D7_13_v3:1876015-1877362	KO	WT	OK	13.6812	108.303	12.0923	5.00E-05	0.00198172	yes	1047874	FALSE
XLOC_000851	XLOC_000851	PF3D7_0414500		"RNA-binding protein, putative"	No	Pf3D7_04_v3:655024-657314	KO	WT	OK	13.6595	96.7328	10.5612	5.00E-05	0.00198172	yes	543176	FALSE
XLOC_004991	XLOC_004991	PF3D7_1438800		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:1571038-1574161	KO	WT	OK	7.13129	49.6273	11.0487	5.00E-05	0.00198172	yes	1571039	FALSE
XLOC_004371	XLOC_004371	PF3D7_1361300		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:2462068-2463784	KO	WT	OK	0.898834	6.21755	2.47054	0.08955	0.367827	no	463167	FALSE
XLOC_001023	XLOC_001023	PF3D7_0525900	NEK2	NIMA related kinase 2	No	Pf3D7_05_v3:1073645-1075644	KO	WT	OK	1.72312	11.3932	4.24122	0.0023	0.0374702	yes	269911	FALSE
XLOC_004273	XLOC_004273	PF3D7_1341700		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:1645065-1645666	KO	WT	OK	9.81894	59.7266	2.01738	0.08145	0.351121	no	1280170	FALSE
XLOC_005535	XLOC_005535	PF3D7_1462500		"conserved Plasmodium protein, unknown function"	No	Pf3D7_14_v3:2544823-2549785	KO	WT	NOTEST	0.21881	1.30604	0	1	1	no	742151	FALSE
XLOC_003833	XLOC_003833	PF3D7_1204400	G37	"conserved Plasmodium membrane protein, unknown function"	No	Pf3D7_12_v3:208164-210893	KO	WT	OK	0.666012	3.83476	2.61742	0.04075	0.241275	no	210893	FALSE
XLOC_002915	XLOC_002915	PF3D7_1020100		"flagellar outer arm dynein-associated protein, putative"	No	Pf3D7_10_v3:814351-814957	KO	WT	OK	23.9706	132.139	3.05958	0.0115	0.111048	no	814957	FALSE
XLOC_001156	XLOC_001156	PF3D7_0517800	DCX	"apicortin, putative"	No	Pf3D7_05_v3:745797-746634	KO	WT	OK	0.916204	4.52186	2.06714	0.112	0.418013	no	596923	FALSE
XLOC_004289	XLOC_004289	PF3D7_1345000		"conserved Plasmodium protein, unknown function"	No	Pf3D7_13_v3:1807158-1809617	KO	WT	OK	5.81883	26.0932	5.75216	5.00E-05	0.00198172	yes	1118077	FALSE
XLOC_004453	XLOC_004453	PF3D7_1301200	GBPH2	glycophorin binding protein	No	Pf3D7_13_v3:73098-74413	KO	WT	OK	0.773786	3.4382	2.78454	0.0206	0.161758	no	74413	TRUE
XLOC_002232	XLOC_002232	PF3D7_0833500	VAR	"erythrocyte membrane protein 1, PfEMP1"	No	Pf3D7_08_v3:1435793-1443449	KO	WT	OK	5.25483	23.1743	10.3598	5.00E-05	0.00198172	yes	29356	TRUE
XLOC_003705	XLOC_003705	PF3D7_1238000		"COPI associated protein, putative"	No	Pf3D7_12_v3:1581983-1582987	KO	WT	OK	7.41781	31.6357	3.18334	0.00665	0.0764462	no	689510	FALSE
XLOC_000571	XLOC_000571	PF3D7_0309100		"conserved Plasmodium protein, unknown function"	No	Pf3D7_03_v3:387218-388473	KO	WT	OK	8.91752	36.8396	4.09038	0.0003	0.00895112	yes	388473	FALSE
XLOC_005018	XLOC_005018	PF3D7_1444200		calmodulin-like protein	No	Pf3D7_14_v3:1826126-1827163	KO	WT	OK	3.25472	12.9349	2.98529	0.00875	0.0918404	no	1465809	FALSE
